"CVEGEO","NOM_ENT","NOM_MUN","Poblacion_total","Poblacion_total_Femenina","Poblacion_total_Femenina_11A17","Poblacion_total_Femenina_18A20","Poblacion_total_Femenina_11A20","Conteo_nacimientos","Porcentaje_nacimientos","Porcentaje_libre","area"
29052,"Tlaxcala","San José Teacalco",6477,3279,451,180,631,20,3.16957210776545,96.8304278922346,36894409.5460121
29053,"Tlaxcala","San Juan Huactzinco",7688,4008,469,182,651,30,4.60829493087558,95.3917050691244,4572499.65882343
29054,"Tlaxcala","San Lorenzo Axocomanitla",5694,2919,308,129,437,3,0.68649885583524,99.3135011441648,4509967.47923373
29055,"Tlaxcala","San Lucas Tecopilco",3103,1532,160,74,234,3,1.28205128205128,98.7179487179487,28888406.7594647
29056,"Tlaxcala","Santa Ana Nopalucan",7953,4052,493,191,684,15,2.19298245614035,97.8070175438596,9226857.9921536
29057,"Tlaxcala","Santa Apolonia Teacalco",4648,2386,249,125,374,2,0.53475935828877,99.4652406417112,7990391.4344069
29058,"Tlaxcala","Santa Catarina Ayometla",9463,4896,529,255,784,20,2.55102040816327,97.4489795918367,10120101.5879457
29059,"Tlaxcala","Santa Cruz Quilehtla",7755,3918,517,245,762,26,3.41207349081365,96.5879265091863,5453295.73043112
29060,"Tlaxcala","Santa Isabel Xiloxoxtla",5443,2786,352,172,524,5,0.954198473282443,99.0458015267176,6050011.74579818
30001,"Veracruz de Ignacio de la Llave","Acajete",9724,4766,626,269,895,46,5.13966480446927,94.8603351955307,98027027.8394574
30002,"Veracruz de Ignacio de la Llave","Acatlán",3441,1770,200,89,289,8,2.7681660899654,97.2318339100346,18323284.6464644
30003,"Veracruz de Ignacio de la Llave","Acayucan",81252,42186,4872,2024,6896,219,3.17575406032483,96.8242459396752,657774955.828832
30004,"Veracruz de Ignacio de la Llave","Actopan",41909,21071,2035,921,2956,61,2.06359945872801,97.936400541272,862660553.53932
30005,"Veracruz de Ignacio de la Llave","Acula",5271,2576,279,124,403,18,4.46650124069479,95.5334987593052,195632260.679999
30006,"Veracruz de Ignacio de la Llave","Acultzingo",23100,11911,1615,705,2320,109,4.69827586206897,95.301724137931,169424415.869642
30007,"Veracruz de Ignacio de la Llave","Camarón de Tejeda",6549,3332,385,163,548,22,4.01459854014599,95.985401459854,124448153.843683
